Site,Distance from estuary mouth,Depth from (m),Depth to (m),AVERAGE depth,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC27,27,0.08,0.2,0.14,0,0.02,93.75,5.51,0.251,8.148,0.007,0.031,0.038,8.187,0.061,0.022,0.053,0.738,0.014,0.11,1.663,14.71,29.632,206.521,307.493,52.827
MSC27,27,0.2,0.3,0.25,0,0.01,78.95,3.15,0.083,0.788,0.003,0.005,0.025,1.298,0.059,0.017,0.031,0.324,0.015,0.102,1.82,23.476,19.319,186.87,155.123,79.298
MSC27,27,0.3,0.7,0.5,0,0,69.7,2.87,0.083,1.495,0.002,0.008,0.038,2.888,0.028,0.012,0.055,0.276,0.009,0.087,0.991,12.172,14.137,175.372,157.685,57.367
MSC27,27,0.7,0.9,0.8,0,0,98.88,2.46,0.077,3.299,0.003,0.009,0.025,4.266,0.013,0.008,0.043,0.328,0.005,0.124,0.897,6.163,10.366,189.6,121.913,66.645
MSC9,9,0,0.25,0.125,0,0.53,604.81,29.3,1.16,19.103,0.048,0.011,0.056,2.268,0.98,0.097,0.18,0.518,0.053,0.291,30.186,191.801,41.936,1114.449,1578.034,218.63
MSC9,9,0.25,0.5,0.375,0,11.03,7168.02,33.1,1.13,335.264,0.089,0.012,0.009,136.229,3.989,13.646,7.068,0.685,12.392,0.946,83.452,269.164,56.904,1342.978,1857.434,1024.163
MSC9,9,0.5,0.75,0.625,0,2.43,1777.91,35.2,1.18,178.417,0.095,0.008,0.007,78.627,2.832,11.339,3.769,0.647,11.569,0.692,61.391,241.002,74.077,1455.061,2100.61,605.836
MSC9,9,0.75,1.2,0.975,0,1.46,1143.22,38.1,1.04,97.777,0.092,0.005,0.003,17.971,2.122,4.215,1.724,0.588,5.482,0.471,45.885,173.012,41.795,1095.001,1714.646,312.631
MSC10,10,0,0.18,0.09,0,0.15,375.47,24,1.07,20.211,0.005,0.013,0.004,20.346,2.851,0.148,0.363,0.674,0.064,0.252,133.47,346.023,84.009,1900.324,2977.064,400.547
MSC10,10,0.18,0.28,0.23,0,0.59,611.17,24.7,0.959,25.243,0.005,0.01,0.002,26.259,4.523,0.396,0.585,0.637,0.241,0.379,208.916,462.162,68.502,1975.81,2986.78,702.571
